names,lat,lon,geometry
GRC Subhiksha bangalore,12.8848843,77.6819939,POINT (77.68199389999999 12.8848843)
Rohan Iksha bangalore,12.9266782,77.6990608,POINT (77.6990608 12.9266782)
DNR Reflection bangalore,12.9240559,77.66866499999999,POINT (77.66866499999999 12.9240559)
Vaishnavi Serene bangalore,13.1241534,77.5672242,POINT (77.5672242 13.1241534)
Uber Verdant bangalore,12.906937,77.699942,POINT (77.69994199999999 12.906937)
Aashrayaa Eternia bangalore,12.8842757,77.62795570000002,POINT (77.62795570000002 12.8842757)
Tirumala Heights bangalore,12.878639,77.67201399999999,POINT (77.67201399999999 12.878639)
Total Environment Pursuit of A Radical Rhapsody bangalore,12.99143,77.7205139,POINT (77.7205139 12.99143)
New Dawn bangalore,12.8640688,77.6979503,POINT (77.6979503 12.8640688)
SJR Blue Waters bangalore,12.8847986,77.6675021,POINT (77.66750209999999 12.8847986)
Salarpuria Sattva Opus bangalore,13.0445527,77.5088305,POINT (77.5088305 13.0445527)
Embassy Lake Terraces bangalore,13.0499669,77.5933108,POINT (77.5933108 13.0499669)
Yuva Eka bangalore,12.8759951,77.6421833,POINT (77.6421833 12.8759951)
Grand Gandharva bangalore,12.9320964,77.51022449999999,POINT (77.51022449999999 12.9320964)
LGCL New Life Villas bangalore,12.884808,77.685152,POINT (77.685152 12.884808)
Reliaable Residenza bangalore,12.8656562,77.69006399999999,POINT (77.69006399999999 12.8656562)
NBR Trifecta bangalore,12.8381526,77.8432415,POINT (77.8432415 12.8381526)
Cynosure White Spaces bangalore,12.9899643,77.78185359999999,POINT (77.78185359999999 12.9899643)
Vaswani Walnut Creek bangalore,12.8935672,77.6938473,POINT (77.6938473 12.8935672)
Reliaable Dollar Colony bangalore,12.8681733,77.6951194,POINT (77.6951194 12.8681733)
The Lake View Address bangalore,12.833466,77.669921,POINT (77.669921 12.833466)
Provident Rays Of Dawn bangalore,12.8816933,77.47161009999999,POINT (77.47161009999999 12.8816933)
Godrej Eternity Life Plus bangalore,12.8561767,77.5418038,POINT (77.5418038 12.8561767)
GAG Classic Amrutha bangalore,12.8750421,77.54395509999999,POINT (77.54395509999999 12.8750421)
Peninsula Heights bangalore,12.915558,77.592652,POINT (77.592652 12.915558)
The Address Makers Serenity bangalore,12.92781,77.632888,POINT (77.63288799999999 12.92781)
GR Regent Park bangalore,12.8551283,77.5936002,POINT (77.5936002 12.8551283)
Purva 270 bangalore,12.9863396,77.6670031,POINT (77.6670031 12.9863396)
Concorde Spring Meadows bangalore,13.064828,77.5051758,POINT (77.5051758 13.064828)
Emmanuel Heights bangalore,12.8921796,77.67382889999999,POINT (77.67382889999999 12.8921796)
Salarpuria Sattva Greenage bangalore,12.9024372,77.6313115,POINT (77.6313115 12.9024372)
Brigade Panorama Phase II bangalore,12.8870631,77.45370779999999,POINT (77.45370779999999 12.8870631)
Total Environment In That Quiet Earth bangalore,13.0527303,77.677491,POINT (77.677491 13.0527303)
DSR White Waters Phase II bangalore,12.9174004,77.7168506,POINT (77.7168506 12.9174004)
Salarpuria Sattva Senorita bangalore,12.9105194,77.6825606,POINT (77.6825606 12.9105194)
Prestige Lake Ridge bangalore,12.8968323,77.54116719999999,POINT (77.54116719999999 12.8968323)
Brigade 7 Gardens bangalore,12.895314,77.53021439999999,POINT (77.53021439999999 12.895314)
Godrej United bangalore,12.9943081,77.70449769999999,POINT (77.70449769999999 12.9943081)
MJR Clique Hydra bangalore,12.8294758,77.6661048,POINT (77.6661048 12.8294758)
Legacy Vivienda bangalore,13.1857708,77.66031029999999,POINT (77.66031029999999 13.1857708)
Total Environment After The Rain bangalore,13.1573953,77.6016927,POINT (77.6016927 13.1573953)
VBC Oracle Heaven bangalore,13.0730645,77.64373189999999,POINT (77.64373189999999 13.0730645)
Assetz Soul & Soil bangalore,12.930827,77.53819899999999,POINT (77.53819899999999 12.930827)
Bhartiya City Nikoo Homes bangalore,13.085357,77.644525,POINT (77.644525 13.085357)
Purva The Sound Of Water bangalore,12.8505636,77.6019434,POINT (77.6019434 12.8505636)
Sky Court bangalore,12.9418086,77.7023823,POINT (77.7023823 12.9418086)
Brigade Exotica - Burgundy Tower bangalore,13.0443079,77.74501289999999,POINT (77.74501289999999 13.0443079)
Vajram Esteva bangalore,12.9306574,77.6864719,POINT (77.6864719 12.9306574)
Brigade Orchards Luxury Apartments bangalore,13.230003,77.72362079999999,POINT (77.72362079999999 13.230003)
Aratt Milano bangalore,12.8677967,77.6978713,POINT (77.6978713 12.8677967)
Skanda Avani C99 bangalore,12.90952,77.724401,POINT (77.724401 12.90952)
Brigade Altamont bangalore,13.0609295,77.6417051,POINT (77.6417051 13.0609295)
Mana Foliage bangalore,12.834063,77.74269489999999,POINT (77.74269489999999 12.834063)
Brigade Meadows bangalore,12.8141256,77.50819419999999,POINT (77.50819419999999 12.8141256)
Sansidh Galaxy bangalore,13.0658986,77.62399860000001,POINT (77.62399860000001 13.0658986)
Myhna Maple bangalore,12.934066,77.74157699999999,POINT (77.74157699999999 12.934066)
DSMAX STARRY bangalore,12.8288136,77.6511943,POINT (77.6511943 12.8288136)
Brigade Bricklane bangalore,13.1003515,77.6320051,POINT (77.6320051 13.1003515)
Orbis BVS Avenues bangalore,12.9582656,77.74662649999999,POINT (77.74662649999999 12.9582656)
Arvind Skylands bangalore,13.0892362,77.6014,POINT (77.6014 13.0892362)
Prestige Jindal City bangalore,13.0542876,77.48404239999999,POINT (77.48404239999999 13.0542876)
Orbis BVS Avenues bangalore,12.9582656,77.74662649999999,POINT (77.74662649999999 12.9582656)
Aratt Premier bangalore,12.9813098,77.7095717,POINT (77.7095717 12.9813098)
Vajram Esteva bangalore,12.9306574,77.6864719,POINT (77.6864719 12.9306574)
Prestige Jindal City bangalore,13.0542876,77.48404239999999,POINT (77.48404239999999 13.0542876)
Global Golden Pearl bangalore,12.787143,77.77711099999999,POINT (77.77711099999999 12.787143)
Gopalan Sanskriti bangalore,12.9128816,77.4958233,POINT (77.4958233 12.9128816)
Kolte Patil I TOWERS Exente bangalore,12.849516,77.669984,POINT (77.669984 12.849516)
Venkat Windsor East bangalore,13.0375925,77.7082434,POINT (77.7082434 13.0375925)
Provident Park Square Phase II bangalore,12.8636392,77.5406447,POINT (77.5406447 12.8636392)
Svamitva Sylvia CIty bangalore,13.0530435,77.7619136,POINT (77.7619136 13.0530435)
Sobha Silicon Oasis bangalore,12.867993,77.6612248,POINT (77.6612248 12.867993)
Disha Courtyard bangalore,12.974269,77.7568397,POINT (77.7568397 12.974269)
Krish Eirianwen bangalore,13.0183013,77.7252647,POINT (77.7252647 13.0183013)
Mahaveer Celesse bangalore,13.1500949,77.61794379999999,POINT (77.61794379999999 13.1500949)
Zonasha Paradiso bangalore,12.9754771,77.7038489,POINT (77.7038489 12.9754771)
DSMAX SKYLISHCIOUS bangalore,12.834025,77.7865073,POINT (77.7865073 12.834025)
Saranya Soham bangalore,12.9492971,77.7166496,POINT (77.7166496 12.9492971)
NYK Metro Urbano bangalore,12.8919021,77.6376131,POINT (77.6376131 12.8919021)
Aratt Vivera bangalore,12.8687962,77.6258232,POINT (77.6258232 12.8687962)
Sekhar Olympus bangalore,13.0311397,77.6579922,POINT (77.6579922 13.0311397)
Ozone Urbana bangalore,13.2032646,77.6635981,POINT (77.6635981 13.2032646)
GM Infinite E City Town Phase II bangalore,12.8192308,77.66407,POINT (77.66407 12.8192308)
The Gran Carmen Address bangalore,12.90064,77.711096,POINT (77.711096 12.90064)
Hiranandani Glen Classic bangalore,13.0530787,77.5743451,POINT (77.5743451 13.0530787)
Advaitha Aksha bangalore,12.9262427,77.6405757,POINT (77.6405757 12.9262427)
Legacy Salvador bangalore,13.1201364,77.58103299999999,POINT (77.58103299999999 13.1201364)
Salarpuria Sattva Anugraha bangalore,12.9827531,77.5186374,POINT (77.5186374 12.9827531)
Concorde Napa Valley bangalore,12.7861871,77.5123704,POINT (77.51237039999999 12.7861871)
Salarpuria Sattva Aspire bangalore,13.083073,77.6543973,POINT (77.6543973 13.083073)
Brick N Land Garden and Skies bangalore,12.9085662,77.6446577,POINT (77.6446577 12.9085662)
42 Queens Square bangalore,12.8525569,77.7825326,POINT (77.7825326 12.8525569)
Assetz Earth & Essence bangalore,13.1480106,77.64160230000002,POINT (77.64160230000002 13.1480106)
Salarpuria Sattva Aspire bangalore,13.083073,77.6543973,POINT (77.6543973 13.083073)
Mantri Webcity bangalore,13.0735045,77.6511247,POINT (77.6511247 13.0735045)
Brigade Buena Vista Phase I bangalore,13.0639183,77.73973289999999,POINT (77.73973289999999 13.0639183)
Shriram Greenfield Phase 2 bangalore,13.0708496,77.75127239999999,POINT (77.75127239999999 13.0708496)
Rohan Upavan bangalore,13.0559341,77.6611702,POINT (77.6611702 13.0559341)
SSB Urban Lotus bangalore,12.8671125,77.6862204,POINT (77.6862204 12.8671125)
Pride Sunrise bangalore,12.8754555,77.6032484,POINT (77.6032484 12.8754555)
SLV Pragathi Amber bangalore,12.8363904,77.69773719999999,POINT (77.69773719999999 12.8363904)
SKS Garden bangalore,12.9715987,77.5945627,POINT (77.5945627 12.9715987)
Bhartiya City bangalore,13.0832763,77.6423729,POINT (77.6423729 13.0832763)
Assetz Marq Phase 2 bangalore,13.0244172,77.76198749999999,POINT (77.76198749999999 13.0244172)
Surbacon Aspen bangalore,13.0861508,77.62403549999999,POINT (77.62403549999999 13.0861508)
Artha Emprasa Startup City bangalore,13.119653,77.802262,POINT (77.802262 13.119653)
M1 Terra Alegria bangalore,13.1042593,77.77487239999999,POINT (77.77487239999999 13.1042593)
Banashree Arka Forest View bangalore,12.7425352,77.6683509,POINT (77.66835089999999 12.7425352)
Godrej Aqua bangalore,13.1461447,77.6376119,POINT (77.6376119 13.1461447)
SLV Central park bangalore,13.0371494,77.7517183,POINT (77.75171829999999 13.0371494)
Sobha Palm Court bangalore,13.1041146,77.60629639999999,POINT (77.60629639999999 13.1041146)
MJR Clique Hercules bangalore,12.8297958,77.6660848,POINT (77.66608479999999 12.8297958)
Klassik Landmark bangalore,12.8956917,77.6775754,POINT (77.67757539999999 12.8956917)
Subhams Antique City bangalore,13.0468846,77.7523614,POINT (77.7523614 13.0468846)
Kritan Iris bangalore,12.8361701,77.6966127,POINT (77.6966127 12.8361701)
Vaishno Solitaire bangalore,13.011668,77.6712713,POINT (77.6712713 13.011668)
Purva Whitehall bangalore,12.9170738,77.6722151,POINT (77.6722151 12.9170738)
Countryside Raindance bangalore,12.832239,77.6595798,POINT (77.6595798 12.832239)
Meda Eternity bangalore,13.0289204,77.7079727,POINT (77.7079727 13.0289204)
Shriram Blue bangalore,13.0166354,77.7281167,POINT (77.7281167 13.0166354)
Aakruti Amity  bangalore,12.8340825,77.6950016,POINT (77.6950016 12.8340825)
Shriram Blue bangalore,13.0166354,77.7281167,POINT (77.7281167 13.0166354)
Adonis Plots bangalore,13.2320575,77.7402329,POINT (77.7402329 13.2320575)
Aakruti Amity  bangalore,12.8340825,77.6950016,POINT (77.6950016 12.8340825)
Hilife Greens bangalore,12.9303537,77.7302936,POINT (77.7302936 12.9303537)
Prestige Deja Vu bangalore,12.9957229,77.6079918,POINT (77.60799179999999 12.9957229)
Brigade Parkside East bangalore,12.9026133,77.7018458,POINT (77.7018458 12.9026133)
Sobha City bangalore,13.077151,77.6382007,POINT (77.6382007 13.077151)
SV Spring Woods bangalore,12.8634456,77.53214299999999,POINT (77.53214299999999 12.8634456)
Home Town The Address bangalore,12.9382404,77.6871472,POINT (77.6871472 12.9382404)
HM Crescendo bangalore,12.9886925,77.5941112,POINT (77.5941112 12.9886925)
Supertech Micasa bangalore,13.097949,77.644494,POINT (77.64449399999999 13.097949)
Arvind Oasis bangalore,13.046621,77.50250799999999,POINT (77.50250799999999 13.046621)
Century Central bangalore,12.8917718,77.565457,POINT (77.56545699999999 12.8917718)
Geown Oasis bangalore,12.8826228,77.7831451,POINT (77.7831451 12.8826228)
Shriram Codename Break Free bangalore,12.832357,77.7028035,POINT (77.7028035 12.832357)
